id,title,year,#votes,1,2,3,4,5,6,7,8,9,10
tt8079248,Yesterday,2019,117133,1153,781,1479,3327,8978,24087,39027,23487,8562,6252
tt3281548,Little Women,2019,147867,1793,733,1060,1855,4287,11146,30573,46160,29651,20609
tt2005151,War Dogs,2016,181895,976,682,1311,2447,7713,28471,72082,48061,12506,7646
tt0409459,Watchmen,2009,503709,9700,4752,6687,11003,22235,47015,95653,134759,92287,79618
tt2802144,Kingsman: The Secret Service,2014,594063,4767,2581,3999,7288,17709,49383,134181,194454,105036,74665
tt2911666,John Wick,2014,544079,4622,3211,5066,9366,23409,61596,146976,154111,71628,64094
tt0414387,Pride & Prejudice,2005,261869,2906,1409,1942,3445,7948,20611,50936,70136,43860,58676
tt0108358,Tombstone,1993,127936,737,402,732,1449,3890,9970,25210,36790,22792,25964
tt7784604,Hereditary,2018,245286,8087,3958,5227,7900,14550,28202,53151,60916,37724,25571
tt0805647,The Witches,2020,25083,2021,1015,1527,2685,5049,5734,3604,1592,554,1302
tt5013056,Dunkirk,2017,562251,7506,3447,4849,8101,18090,45738,110277,163244,117704,83295
tt0073650,Salò o le 120 giornate di Sodoma,1975,54762,5506,2186,2644,3537,5857,8272,9003,7369,4095,6293
tt2194499,About Time,2013,307226,1491,868,1485,3019,7731,22866,63097,97213,57372,52084
tt1293847,xXx: Return of Xander Cage,2017,85915,5957,4079,6051,10163,17924,18259,11041,4955,2055,5431
tt1469304,Baywatch,2017,163604,6310,5242,8927,15856,31316,42337,28077,12011,4230,9298
tt10554232,Dara iz Jasenovca,2020,33579,2107,123,67,90,120,167,212,346,686,29661
tt1853728,Django Unchained,2012,1370163,9740,4195,5493,8945,18780,49897,161842,386249,433142,291880
tt4912910,Mission: Impossible - Fallout,2018,294483,2105,978,1571,2786,7910,24523,68336,93471,53649,39154
tt0770828,Man of Steel,2013,695505,12618,7186,11993,21848,46929,99886,171032,150737,78933,94343
tt8244784,The Hunt,2020,71613,2075,1070,1723,3091,7618,16155,20453,11629,3986,3813
tt2066051,Rocketman,2019,141523,1675,747,1239,2383,6279,18260,41256,40390,17247,12047
tt0075314,Taxi Driver,1976,731363,5431,2845,4155,7163,16224,40626,111781,205369,185316,152453
tt4682266,The New Mutants,2020,46562,3192,1932,3005,5581,9461,10676,6791,2775,955,2194
tt0088763,Back to the Future,1985,1066967,4379,1921,3118,6146,15104,43312,140225,294803,283788,274171
tt6394270,Bombshell,2019,92999,2027,763,1080,2016,5965,19738,34129,17657,5136,4488
tt0113855,Mortal Kombat,1995,104103,2902,3122,5424,9465,17782,23834,18681,9924,3793,9176
tt8784956,Ava,2020,41414,1686,1577,2534,4722,9165,10727,6284,2454,785,1480
tt0180093,Requiem for a Dream,2000,772402,10526,4567,5880,9231,17380,38114,98830,197938,208280,181656
tt0167260,The Lord of the Rings: The Return of the King,2003,1654194,29075,6570,8024,10934,21945,44995,118075,271718,435659,707199
tt0478970,Ant-Man,2015,576241,4621,2308,3846,8226,24205,75715,188236,168211,57317,43556
tt0451279,Wonder Woman,2017,574527,11145,4475,6751,11930,26839,63299,134541,150775,83040,81732
tt1099212,Twilight,2008,429313,57061,20608,26064,36216,57721,64398,55063,35244,18414,58524
