id,title,year,#votes,1,2,3,4,5,6,7,8,9,10
tt1853728,Django Unchained,2012,1370309,9741,4195,5493,8946,18784,49903,161860,386286,433188,291913
tt4912910,Mission: Impossible - Fallout,2018,294508,2105,978,1571,2786,7911,24528,68339,93477,53656,39157
tt0770828,Man of Steel,2013,695573,12618,7187,11995,21850,46931,99895,171058,150746,78937,94356
tt8244784,The Hunt,2020,71631,2077,1070,1723,3093,7619,16159,20457,11631,3988,3814
tt2066051,Rocketman,2019,141551,1675,747,1239,2383,6282,18262,41264,40397,17251,12051
tt0075314,Taxi Driver,1976,731434,5431,2847,4155,7167,16227,40631,111788,205387,185333,152468
tt4823776,The SpongeBob Movie: Sponge on the Run,2020,11687,345,230,446,821,1713,3007,2468,1074,398,1185
tt4682266,The New Mutants,2020,46592,3192,1933,3007,5585,9467,10682,6795,2778,955,2198
tt0088763,Back to the Future,1985,1067070,4379,1921,3118,6146,15102,43324,140237,294833,283814,274196
tt6394270,Bombshell,2019,93028,2028,763,1080,2017,5965,19747,34142,17659,5139,4488
tt0113855,Mortal Kombat,1995,104118,2904,3121,5425,9465,17785,23836,18687,9926,3793,9176
tt8784956,Ava,2020,41435,1687,1577,2534,4724,9169,10734,6288,2455,785,1482
tt0180093,Requiem for a Dream,2000,772460,10527,4568,5880,9231,17379,38115,98837,197957,208299,181667
tt0167260,The Lord of the Rings: The Return of the King,2003,1654327,29075,6572,8024,10934,21946,44998,118082,271736,435698,707262
tt0478970,Ant-Man,2015,576303,4622,2309,3846,8226,24213,75719,188257,168225,57322,43564
tt0451279,Wonder Woman,2017,574592,11146,4475,6753,11930,26843,63309,134563,150788,83048,81737
tt1099212,Twilight,2008,429336,57063,20608,26065,36219,57724,64404,55066,35245,18415,58527
tt1950186,Ford v Ferrari,2019,300139,958,483,591,1120,3553,12398,49281,109723,77231,44801
tt1833116,The Informer,2019,22299,222,118,249,644,1968,5897,7856,3423,925,997
tt0087928,Police Academy,1984,115153,1104,1226,2069,4276,10711,26057,36301,18850,6118,8441
tt3315342,Logan,2017,654533,4519,2185,3203,6008,13814,39184,107768,185922,157377,134553
tt0356150,EuroTrip,2004,196624,3376,2822,4703,8998,19370,38574,52227,32470,14453,19631
tt1843866,Captain America: The Winter Soldier,2014,742735,6689,2533,3560,7406,19745,60425,167348,230209,134322,110498
tt10059518,Unhinged,2020,37268,1523,937,1440,2477,5177,9890,8937,3934,1225,1728
tt0093779,The Princess Bride,1987,395958,4880,1863,2892,4625,10297,24820,62066,99600,82750,102165
tt0108052,Schindler's List,1993,1222200,19380,4309,4592,6266,12964,27316,82788,221920,386011,456654
tt5027774,"Three Billboards Outside Ebbing, Missouri",2017,439602,2760,1470,2037,3263,7145,21100,71166,149840,121682,59139
tt0076759,Star Wars,1977,1239371,16873,4082,5087,8032,18826,44862,134724,283837,330691,392357
tt1201607,Harry Potter and the Deathly Hallows: Part 2,2011,771024,10250,3119,4208,7173,17522,45276,124689,213712,160295,184780
tt7984734,The Lighthouse,2019,147648,3127,1889,2621,3928,7485,15333,30469,39718,24980,18098
tt0110413,Léon,1994,1043831,5568,1935,2638,5182,11865,33170,116656,277622,324929,264266
tt0139654,Training Day,2001,394391,2033,1120,1791,3561,9807,30929,96530,140870,65737,42013
tt2975590,Batman v Superman: Dawn of Justice,2016,630172,23441,12894,21572,35932,65133,109541,131915,93714,48158,87872
tt1302006,The Irishman,2019,330478,3487,1797,2741,4548,10379,26647,65859,100861,67437,46722
tt3890160,Baby Driver,2017,444749,3684,2168,3496,6239,15862,44602,110968,141024,72825,43881
tt5580390,The Shape of Water,2017,375537,8446,4157,6098,9820,21046,48701,99770,100793,47968,28738
tt2582802,Whiplash,2014,725836,4011,1926,2674,4872,9576,25580,85604,200291,233428,157874
tt4972582,Split,2016,430851,3620,1981,3358,6735,17580,52901,129929,128356,51854,34537
tt1396484,It,2017,463386,8049,4292,6406,10937,24303,56268,117457,124552,61247,49875
tt0081505,The Shining,1980,906025,6677,3428,4998,8479,17799,42944,120198,244975,252044,204483
tt10451914,Outside the Wire,2021,31489,1510,1033,1905,3790,7282,8028,4444,1681,580,1236
tt1345836,The Dark Knight Rises,2012,1526482,13512,5058,7038,12151,25436,65041,178460,371551,417051,431184
tt5362988,Wind River,2017,209570,737,419,674,1398,4258,15244,54067,80269,34296,18208
tt0119116,The Fifth Element,1997,436547,3626,2609,4113,7513,17827,41358,96825,128726,69696,64254
tt6966692,Green Book,2018,388802,1963,688,940,1905,4938,14808,54305,129418,111730,68107
tt9076562,Irresistible,2020,11921,424,196,285,604,1398,3033,3045,1596,576,764
tt0377092,Mean Girls,2004,337967,3384,2430,4166,9032,22090,54455,94799,67265,31692,48654
tt0092099,Top Gun,1986,298038,3705,2730,4431,8965,21269,53330,89453,60344,24854,28957
tt10332588,Finding 'Ohana,2021,6051,165,95,183,347,851,1538,1355,673,229,615
tt2345759,The Mummy,2017,174321,7004,6296,11105,19371,36917,44461,28126,10679,3669,6693
tt0090605,Aliens,1986,656683,4359,1996,2809,5322,12127,31088,92492,183661,171016,151813
tt10334148,Blithe Spirit,2020,2411,126,103,152,222,550,605,351,131,49,122
tt0112573,Braveheart,1995,964721,8924,4087,5658,9310,19623,46482,129023,251021,247829,242764
tt0372784,Batman Begins,2005,1316971,9838,3225,4321,8130,19184,55812,199409,432772,340691,243589
tt0113277,Heat,1995,582359,3443,1457,2188,4163,10439,29154,90055,178061,147152,116247
tt0382932,Ratatouille,2007,646764,5580,1873,2698,5138,13586,41626,121750,210769,133146,110598
tt1677720,Ready Player One,2018,373588,3500,2309,3984,7329,16043,40512,90395,107859,55504,46153
tt5606664,Doctor Sleep,2019,147357,1811,1121,1796,3151,6958,17205,39286,44107,18661,13261
tt3741700,Godzilla: King of the Monsters,2019,140403,4044,3335,5969,10394,20245,32729,30189,16633,6503,10362
tt2222042,Love and Monsters,2020,34154,362,186,296,615,1782,5477,11318,7754,2769,3595
tt5095030,Ant-Man and the Wasp,2018,315644,2598,1443,2811,6042,16931,51622,114502,76634,22884,20177
tt3778644,Solo: A Star Wars Story,2018,296308,7135,2619,3953,8046,20219,51480,96793,65115,21709,19239
tt0942385,Tropic Thunder,2008,380024,6157,4254,6794,12012,25989,56684,107354,87827,38742,34211
tt5726616,Call Me by Your Name,2017,217275,5590,1653,2205,3417,6873,15246,33739,52253,45117,51182
tt10161886,The Prom,2020,22383,1224,682,1093,1588,2910,4289,4093,2752,1310,2442
tt0058007,Devil Doll,1964,1919,311,215,239,235,247,251,161,105,51,104
tt0120915,Star Wars: Episode I - The Phantom Menace,1999,736355,21252,15541,24816,40771,78399,150911,189459,108449,44404,62353
tt0446029,Scott Pilgrim vs. the World,2010,382406,7074,3754,5117,8482,16835,36573,79806,103892,62225,58648
tt0120201,Starship Troopers,1997,270821,4497,3103,4416,7445,15260,34671,72753,69039,31036,28601
tt9691136,Shadow in the Cloud,2020,12818,2061,1005,1186,1474,1845,1834,1445,767,329,872
tt6772802,Hillbilly Elegy,2020,26022,464,320,507,963,1806,4142,7208,5590,2235,2787
tt3099498,Tusk,2014,47122,4231,2504,3261,4738,7542,9465,7651,3967,1344,2419
tt0077631,Grease,1978,243935,3362,2112,3370,6254,13726,31881,66356,55005,26642,35227
tt10037014,Fear of Rain,2021,1881,57,42,62,136,346,512,339,150,80,157
tt1190080,2012,2009,355266,14937,11643,18563,31636,60151,82834,67611,35082,14025,18784
tt0830558,The Girl Next Door,2007,23829,909,467,631,1101,2130,4260,6184,4138,1772,2237
tt0120616,The Mummy,1999,392721,3284,3244,5468,10781,26349,64649,127038,84960,32593,34355
tt0118971,The Devil's Advocate,1997,334437,1892,1344,2240,4727,11875,34668,89682,105474,48461,34074
tt0295700,Wrong Turn,2003,110424,2496,2299,4199,7549,15942,28914,24036,12197,4589,8203
tt2771200,Beauty and the Beast,2017,276897,5412,2382,3756,6901,16079,39151,72586,61402,30216,39012
tt1877832,X-Men: Days of Future Past,2014,663668,3791,1517,2308,4652,12770,41268,129862,223130,143012,101358
tt7975244,Jumanji: The Next Level,2019,192418,1998,1405,2359,5167,14891,41230,62048,33111,14789,15420
tt5727208,Uncut Gems,2019,226128,5537,3050,3964,5898,11218,23870,52679,67567,35255,17090
tt0116282,Fargo,1996,621959,6107,2533,3609,5997,13057,35547,104143,197392,153230,100344
tt0147800,10 Things I Hate About You,1999,300473,1736,1491,2577,5521,15087,40978,84722,70303,34750,43308
tt0829482,Superbad,2007,524111,7842,3587,4777,8512,18930,48646,116479,153875,83102,78361
tt7557108,Saint Maud,2019,11849,378,215,298,491,995,2087,3154,2625,1033,573
tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,2003,1019510,9014,3382,5032,8817,21274,57684,176037,339609,210730,187931
tt0443272,Lincoln,2012,246248,3308,1803,2731,5001,12171,29782,66594,66939,33666,24253
tt4857264,Contratiempo,2016,146562,646,281,418,802,2059,6647,23757,49485,36502,25965
